sample_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
F1600	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1052	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1051	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1048	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1049	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1608	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1597	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14
F1611	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1320	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1599	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1308	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1461	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1333	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1322	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1602	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1325	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1595	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1594	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1592	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1604	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1606	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1331	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1612	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1589	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1318	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1319	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1323	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1607	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1311	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1596	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1601	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1418	Culex gelidus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1603	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
F1591	Culex sinensis	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15
