sample	refs
F1068	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1069	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1070	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1071	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1074	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1075	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1076	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1078	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1079	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1080	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1081	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1082	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1083	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1084	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1085	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1086	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
